ON_STREET,Dir,X_STREET,TYPE,Date,Day,NB,SB,EB,WB,TOT_24,FID
DRY CREEK RD,S,U ST,24,2015-02-04T00:00:00.000Z,W,508,438,,,946,735
MORSE AVE,N,FAIR OAKS BLVD,24,2015-02-11T00:00:00.000Z,W,1765,1753,,,3518,736
NORTHROP AVE,E,HOWE AVE,24,2015-02-11T00:00:00.000Z,W,,,3405,3938,7343,737
SIERRA BLVD,E,HOWE AVE,24,2015-02-11T00:00:00.000Z,W,,,2181,1862,4043,738
MORSE AVE,S,COTTAGE WAY,24,2015-02-11T00:00:00.000Z,W,5216,4097,,,9313,739
MUNROE ST,S,FAIR OAKS BLVD,24,2015-02-11T00:00:00.000Z,W,8524,8360,,,16884,740
ARDEN WAY,E,MORSE AVE,24,2015-02-11T00:00:00.000Z,W,,,13320,14263,27583,741
BELL ST,N,NORTHROP AVE,24,2015-02-11T00:00:00.000Z,W,2292,3087,,,5379,742
HURLEY WAY,W,WATT AVE,24,2015-02-11T00:00:00.000Z,W,,,4052,3330,7382,743
MORSE AVE,S,ALTA ARDEN EXPWY,24,2015-02-11T00:00:00.000Z,W,3718,3402,,,7120,744
MORSE AVE,S,COTTAGE WAY,24,2015-02-12T00:00:00.000Z,TH,5030,4114,,,9144,745
SIERRA BLVD,E,HOWE AVE,24,2015-02-12T00:00:00.000Z,TH,,,2098,1841,3939,746
ARDEN WAY,E,MORSE AVE,24,2015-02-12T00:00:00.000Z,TH,,,13610,14441,28051,747
MORSE AVE,N,FAIR OAKS BLVD,24,2015-02-12T00:00:00.000Z,TH,1764,1811,,,3575,748
MORSE AVE,S,ALTA ARDEN EXPWY,24,2015-02-12T00:00:00.000Z,TH,3907,3620,,,7527,749
HURLEY WAY,W,WATT AVE,24,2015-02-12T00:00:00.000Z,TH,,,3945,3331,7276,750
SCOTT RD,N,LATROBE RD,24,2014-07-31T00:00:00.000Z,TH,1303,1339,,,2642,751
LATROBE RD,W,SCOTT RD,24,2014-07-31T00:00:00.000Z,TH,,,188,137,325,752
IONE RD,N,CARBONDALE RD,24,2014-07-31T00:00:00.000Z,TH,1203,1155,,,2358,753
COLOMA RD,E,SUNRISE BLVD,24,2014-07-31T00:00:00.000Z,TH,,,7758,8404,16162,754
ARNO RD,E,STATE ROUTE 99,24,2014-08-05T00:00:00.000Z,T,,,992,954,1946,755
FLORIN RD,W,STOCKTON BLVD,24,2014-08-05T00:00:00.000Z,T,,,16499,17854,34353,756
DILLARD RD,E,STATE ROUTE 99,24,2014-08-05T00:00:00.000Z,T,,,2441,2415,4856,757
GRANT LINE RD,W,BRADSHAW RD,24,2014-08-05T00:00:00.000Z,T,,,6094,6478,12572,758
AIRPORT BLVD,N,I-5,24,2014-08-06T00:00:00.000Z,W,19190,19257,,,38447,759
FAIR OAKS BLVD,W,CALIFORNIA AVE,24,2014-08-06T00:00:00.000Z,W,,,13908,13547,27455,760
GRANT LINE RD,W,BRADSHAW RD,24,2014-08-06T00:00:00.000Z,W,,,6165,6332,12497,761
OAKHOLLOW DR,E,ROSEVILLE RD,24,2014-08-06T00:00:00.000Z,W,,,3741,3714,7455,762
FREEPORT BRIDGE,W,STATE ROUTE 160,24,2014-08-06T00:00:00.000Z,W,,,1661,1745,3406,763
FLORIN RD,W,STOCKTON BLVD,24,2014-08-06T00:00:00.000Z,W,,,16357,17634,33991,764
DILLARD RD,E,STATE ROUTE 99,24,2014-08-06T00:00:00.000Z,W,,,2372,2377,4749,765
DON JULIO BLVD,E,WATT AVE,24,2014-08-06T00:00:00.000Z,T,,,3461,3162,6623,766
ARNO RD,E,STATE ROUTE 99,24,2014-08-06T00:00:00.000Z,W,,,983,959,1942,767
FAIR OAKS BLVD,N,MARCONI AVE,24,2014-08-12T00:00:00.000Z,T,16616,15381,,,31997,768
HOWE AVE,N,ARDEN WAY,24,2014-08-12T00:00:00.000Z,T,13564,14132,,,27696,769
MISSION AVE,N,FAIR OAKS BLVD,24,2014-08-12T00:00:00.000Z,T,785,1139,,,1924,770
MISSION AVE,S,ARDEN WAY,24,2014-08-12T00:00:00.000Z,T,924,580,,,1504,771
GRANT LINE RD,S,DOUGLAS RD,24,2014-08-12T00:00:00.000Z,T,3914,3375,,,7289,772
HOWE AVE,N,FAIR OAKS BLVD,24,2014-08-12T00:00:00.000Z,T,23371,22815,,,46186,773
KIEFER BLVD,W,SUNRISE BLVD,24,2014-08-12T00:00:00.000Z,T,,,342,383,725,774
WHITE ROCK RD,W,GRANT LINE RD,24,2014-08-12T00:00:00.000Z,T,,,1599,1402,3001,775
HURLEY WAY,E,ETHAN WAY,24,2014-08-13T00:00:00.000Z,W,,,11797,8532,20329,776
HURLEY WAY,E,HOWE AVE,24,2014-08-13T00:00:00.000Z,W,,,7421,6914,14335,777
HOWE AVE,N,FAIR OAKS BLVD,24,2014-08-13T00:00:00.000Z,W,22552,22961,,,45513,778
MISSION AVE,N,FAIR OAKS BLVD,24,2014-08-13T00:00:00.000Z,W,1020,1114,,,2134,779
WHITE ROCK RD,W,GRANT LINE RD,24,2014-08-13T00:00:00.000Z,W,,,1572,1606,3178,780
GRANT LINE RD,S,DOUGLAS RD,24,2014-08-13T00:00:00.000Z,W,3757,3518,,,7275,781
COYLE AVE,W,DEWEY BLVD,24,2014-08-13T00:00:00.000Z,W,,,5009,5230,10239,782
MORSE AVE,N,NORTHROP AVE,24,2014-08-13T00:00:00.000Z,W,1802,1827,,,3629,783
DIABLO DR,S,ELKHORN BLVD,24,2014-08-13T00:00:00.000Z,W,2705,2420,,,5125,784
FAIR OAKS BLVD,N,MARCONI AVE,24,2014-08-13T00:00:00.000Z,W,16851,15772,,,32623,785
MISSION AVE,S,ARDEN WAY,24,2014-08-13T00:00:00.000Z,W,1001,597,,,1598,786
HOWE AVE,N,ARDEN WAY,24,2014-08-13T00:00:00.000Z,W,13848,14300,,,28148,787
ALTA ARDEN EXPWY,E,HOWE AVE,24,2014-08-13T00:00:00.000Z,W,,,8472,6769,15241,788
HACKBERRY LN,S,PALM AVE,24,2014-08-13T00:00:00.000Z,W,305,248,,,553,789
LANDIS AVE,E,CALIFORNIA AVE,24,2014-08-19T00:00:00.000Z,T,,,1206,1125,2331,790
WINDING WAY,E,AUBURN BLVD,24,2014-08-19T00:00:00.000Z,T,,,8847,9456,18303,791
MARCONI AVE,E,WALNUT AVE,24,2014-08-19T00:00:00.000Z,T,,,5926,7372,13298,792
LAMBERT RD,W,BRUCEVILLE RD,24,2014-08-20T00:00:00.000Z,W,,,570,638,1208,793
GERBER RD,E,STOCKTON BLVD,24,2014-08-20T00:00:00.000Z,W,,,10078,10639,20717,794
LANDIS AVE,E,DEODAR ST,24,2014-08-20T00:00:00.000Z,W,,,1097,944,2041,795
EXCELSIOR AVE,N,JACKSON RD/SR 16,24,2014-08-20T00:00:00.000Z,W,2344,2216,,,4560,796
FOLSOM BLVD,E,MAYHEW RD,24,2014-08-20T00:00:00.000Z,W,,,10441,9807,20248,797
LANDIS AVE,E,CALIFORNIA AVE,24,2014-08-20T00:00:00.000Z,W,,,1256,1225,2481,798
EL CAMINO AVE,E,HOWE AVE,24,2014-08-26T00:00:00.000Z,T,,,13923,11873,25796,799
MARCONI AVE,E,HOWE AVE,24,2014-08-26T00:00:00.000Z,T,,,9312,9481,18793,800
TAVERNOR RD,N,CLAY STATION RD,24,2015-07-08T00:00:00.000Z,W,536,649,,,1185,801
WILTON RD,E,GRANT LINE RD,24,2015-07-08T00:00:00.000Z,W,,,4893,4877,9770,802
VALENSIN RD,E,COLONY RD,24,2015-07-08T00:00:00.000Z,W,,,432,397,829,803
ALTA MESA RD,N,BORDEN RD,24,2015-07-08T00:00:00.000Z,W,608,618,,,1226,804
BORDEN RD,E,TWIN CITIES RD,24,2015-07-08T00:00:00.000Z,W,,,749,731,1480,805
SIMMERHORN RD,W,CLAY STATION RD,24,2015-07-08T00:00:00.000Z,W,,,352,314,666,806
BOESSOW RD,W,MARENGO RD,24,2015-07-08T00:00:00.000Z,W,,,1904,2432,4336,807
ARNO RD,E,STATE ROUTE 99,24,2015-07-08T00:00:00.000Z,W,,,967,900,1867,808
ARNO RD,W,ALTA MESA RD,24,2015-07-08T00:00:00.000Z,W,,,155,128,283,809
MEISS RD,E,DILLARD RD,24,2015-07-08T00:00:00.000Z,W,,,,,226,810
CLAY STATION RD,S,TAVERNOR RD,24,2015-07-08T00:00:00.000Z,W,1262,1247,,,2509,811
DILLARD RD,S,MEISS RD,24,2015-07-08T00:00:00.000Z,W,2083,2037,,,4120,812
SIMMERHORN RD,W,STEINER RD,24,2015-07-08T00:00:00.000Z,W,,,1874,1698,3572,813
DILLARD RD,E,STATE ROUTE 99,24,2015-07-08T00:00:00.000Z,W,,,2568,2569,5137,814
BRADSHAW RD,S,KIEFER BLVD,24,2015-07-09T00:00:00.000Z,TH,15995,15855,,,31850,815
ELKHORN BLVD,W,DIABLO DR,24,2015-07-14T00:00:00.000Z,T,,,27043,27620,54663,816
MADISON AVE,E,COLLEGE OAK DR,24,2015-07-14T00:00:00.000Z,T,,,23338,24104,47442,817
MADISON AVE,E,AUBURN BLVD,24,2015-07-14T00:00:00.000Z,T,,,23804,24129,47933,818
WEDDIGEN WAY,S,ELKHORN BLVD,24,2015-07-14T00:00:00.000Z,T,,,,,1043,819
KIEFER BLVD,E,SOUTH WATT AVE,24,2015-07-15T00:00:00.000Z,W,,,9136,8659,17795,820
FAIR OAKS BLVD,E,EASTERN AVE,24,2015-07-21T00:00:00.000Z,T,,,15103,15634,30737,821
FAIR OAKS BLVD,S,GRANT AVE,24,2015-07-21T00:00:00.000Z,T,18485,18396,,,36881,822
MISSION AVE,N,FAIR OAKS BLVD,24,2015-07-21T00:00:00.000Z,T,834,687,,,1521,823
GENEVA POINTE DR,E,EAST STOCKTON BLVD,24,2015-07-28T00:00:00.000Z,T,,,2402,1736,4138,824
HILLSDALE BLVD,W,WALERGA RD,24,2015-07-28T00:00:00.000Z,T,,,8947,10732,19679,825
POWER INN RD,S,STEVENSON AVE,24,2015-07-28T00:00:00.000Z,T,8524,8762,,,17286,826
FLORIN RD,W,STOCKTON BLVD,24,2015-07-28T00:00:00.000Z,T,,,16169,17325,33494,827
GERBER RD,W,EXCELSIOR RD,24,2015-07-28T00:00:00.000Z,T,,,1173,1065,2238,828
BLAKE RD,W,ALTA MESA RD,24,2015-07-29T00:00:00.000Z,W,,,296,370,666,829
41ST AVE,E,FRANKLIN BLVD,24,2015-07-29T00:00:00.000Z,W,,,1303,1196,2499,830
CALVINE RD,E,BRADSHAW RD,24,2015-07-29T00:00:00.000Z,W,,,6709,6885,13594,831
GERBER RD,W,EXCELSIOR RD,24,2015-07-29T00:00:00.000Z,W,,,1132,1144,2276,832
WALERGA RD,N,KIRKBY WAY,24,2015-07-30T00:00:00.000Z,TH,8690,9846,,,18536,833
RIO LINDA BLVD,S,SUTTER COUNTY LINE,24,2015-07-30T00:00:00.000Z,TH,580,617,,,1197,834
WEST 2ND ST,N,M ST,24,2015-07-30T00:00:00.000Z,TH,250,287,,,537,835
26TH ST,S,I ST,24,2015-07-30T00:00:00.000Z,TH,285,298,,,583,836
BRADSHAW RD,S,LINCOLN VILLAGE DR,24,2015-07-30T00:00:00.000Z,TH,23644,22145,,,45789,837
WATT AVE,N,AMERICAN RIVER DR,24,2015-08-01T00:00:00.000Z,S,32422,40984,,,73406,838
WATT AVE,N,AMERICAN RIVER DR,24,2015-08-02T00:00:00.000Z,SU,26486,33777,,,60263,839
WATT AVE,N,AMERICAN RIVER DR,24,2015-08-03T00:00:00.000Z,M,43072,48086,,,91158,840
RUTLAND DR,S,MADISON AVE,24,2015-08-04T00:00:00.000Z,T,182,495,,,677,841
4TH AVE,N,STATE ROUTE 160,24,2015-08-04T00:00:00.000Z,T,,,,,888,842
4TH AVE,S,DIABLOVIEW CT,24,2015-08-04T00:00:00.000Z,T,,,,,305,843
WATT AVE,N,AMERICAN RIVER DR,24,2015-08-04T00:00:00.000Z,T,45285,49660,,,94945,844
AIRPORT BLVD,N,I-5,24,2015-08-04T00:00:00.000Z,T,19920,19886,,,39806,845
MCCLAREN DR,S,ARDEN WAY,24,2015-08-05T00:00:00.000Z,W,778,524,,,1302,846
MISSION AVE,N,FAIR OAKS BLVD,24,2015-08-05T00:00:00.000Z,W,840,679,,,1519,847
TALLYHO DR,S,KIEFER BLVD (W-EXT),24,2015-08-05T00:00:00.000Z,W,1887,1820,,,3707,848
AIRPORT BLVD,N,I-5,24,2015-08-05T00:00:00.000Z,W,20260,20157,,,40417,849
WHITE ROCK RD,W,EL DORADO COUNTY LINE,24,2015-08-05T00:00:00.000Z,W,,,4264,4136,8400,850
FRUITRIDGE RD,W,MARTIN LUTHER KING BLVD,24,2015-09-22T00:00:00.000Z,T,,,15645,16923,32568,851
FLORIN RD,E,FRANKLIN BLVD,24,2015-09-22T00:00:00.000Z,T,,,20105,20312,40417,852
HOBDAY RD,E,ALTA MESA RD,24,2015-09-22T00:00:00.000Z,T,,,,,495,853
SOUTH WATT AVE,S,FOLSOM BLVD,24,2015-09-22T00:00:00.000Z,T,25204,24440,,,49644,854
WATT AVE,S,ELKHORN BLVD,24,2015-09-23T00:00:00.000Z,W,15017,17632,,,32649,855
DON JULIO BLVD,E,WATT AVE,24,2015-09-23T00:00:00.000Z,W,,,4095,3297,7392,856
EL CAMINO AVE,E,EASTERN AVE,24,2015-09-23T00:00:00.000Z,W,,,8903,8451,17354,857
SUNRISE BLVD,S,AMERICAN RIVER BRIDGE,24,2015-09-28T00:00:00.000Z,M,37061,37695,,,74756,858
SUNRISE BLVD,N,FLORIN RD,24,2015-09-29T00:00:00.000Z,T,5883,6264,,,12147,859
SUNRISE BLVD,S,AMERICAN RIVER BRIDGE,24,2015-09-29T00:00:00.000Z,T,38016,38774,,,76790,860
47TH AVE,W,KIESSIG AVE,24,2015-09-29T00:00:00.000Z,T,,,10798,10728,21526,861
MADISON AVE,E,SAN JUAN AVE,24,2015-09-29T00:00:00.000Z,T,,,24044,26269,50313,862
WATT AVE,N,A ST,24,2015-09-29T00:00:00.000Z,T,18239,19074,,,37313,863
MADISON AVE,W,HILLSDALE BLVD,24,2015-09-29T00:00:00.000Z,T,,,13598,13387,26985,864
BRADSHAW RD,S,JACKSON RD/SR 16,24,2015-09-29T00:00:00.000Z,T,11513,14811,,,26324,865
SUNRISE BLVD,S,AMERICAN RIVER BRIDGE,24,2015-09-30T00:00:00.000Z,W,38199,38704,,,76903,866
WHITEWATER WAY,N,NIAGARA WAY,24,2015-09-30T00:00:00.000Z,W,,,,,1276,867
MADISON AVE,E,SAN JUAN AVE,24,2015-09-30T00:00:00.000Z,W,,,24840,26578,51418,868
SUNRISE BLVD,S,AMERICAN RIVER BRIDGE,24,2015-10-01T00:00:00.000Z,TH,38379,38811,,,77190,869
SUNRISE BLVD,S,AMERICAN RIVER BRIDGE,24,2015-10-02T00:00:00.000Z,F,39748,40585,,,80333,870
SUNRISE BLVD,S,AMERICAN RIVER BRIDGE,24,2015-10-03T00:00:00.000Z,S,32371,32854,,,65225,871
SUNRISE BLVD,S,AMERICAN RIVER BRIDGE,24,2015-10-04T00:00:00.000Z,SU,26569,26392,,,52961,872
ELVERTA RD,W,WALERGA RD,24,2015-10-06T00:00:00.000Z,T,,,8880,9466,18346,873
ELVERTA RD,E,WATT AVE,24,2015-10-06T00:00:00.000Z,T,,,7829,8326,16155,874
ROSEVILLE RD,E,WATT AVE,24,2015-10-06T00:00:00.000Z,T,,,10503,11847,22350,875
FAIR OAKS BLVD,E,WATT AVE,24,2015-10-14T00:00:00.000Z,W,,,18508,21114,39622,876
GEORGIA DR,S,KARL DR,24,2015-10-14T00:00:00.000Z,W,,,,,619,877
COLLEGE OAK DR,S,PALM AVE,24,2015-10-14T00:00:00.000Z,W,2191,2152,,,4343,878
NEW YORK AVE,`N,LEMON ST,24,2015-10-26T00:00:00.000Z,T,,,,,353,879
WATT AVE,S,ORANGE GROVE AVE,24,2015-10-27T00:00:00.000Z,T,26640,26946,,,53586,880
NEW YORK AVE,N,ORANGE AVE,24,2015-10-27T00:00:00.000Z,T,,,,,353,881
LIVE OAK AVE,W,MCFARLAND ST,24,2015-10-27T00:00:00.000Z,T,,,,,306,882
WATT AVE,N,FAIR OAKS BLVD,24,2015-10-27T00:00:00.000Z,T,26245,25016,,,51261,883
LA SIERRA DR,S,EL RICON WAY,24,2015-10-27T00:00:00.000Z,T,1155,978,,,2133,884
MONOGRAM DR,S,PERCEPTIVE WAY,24,2015-10-27T00:00:00.000Z,T,,,,,748,885
WATT AVE,N,ROSEVILLE RD,24,2015-10-27T00:00:00.000Z,T,19942,20647,,,40589,886
WATT AVE,N,ROSEVILLE RD,24,2015-10-28T00:00:00.000Z,W,19963,20735,,,40698,887
WATT AVE,N,FAIR OAKS BLVD,24,2015-10-28T00:00:00.000Z,W,26807,25529,,,52336,888
MONOGRAM DR,S,PERCEPTIVE WAY,24,2015-10-28T00:00:00.000Z,W,,,,,684,889
LIVE OAK AVE,E,CHRISTENSEN RD,24,2015-10-28T00:00:00.000Z,W,,,,,272,890
LIVE OAK AVE,W,MCFARLAND ST,24,2015-10-28T00:00:00.000Z,W,,,,,310,891
WATT AVE,S,ORANGE GROVE AVE,24,2015-10-28T00:00:00.000Z,W,26548,27140,,,53688,892
LA SIERRA DR,S,EL RICON WAY,24,2015-10-28T00:00:00.000Z,W,1084,911,,,1995,893
WATT AVE,S,AUBURN BLVD,24,2015-11-03T00:00:00.000Z,T,26431,26611,,,53042,894
FAIR OAKS BLVD,N,ENGLE RD,24,2015-11-03T00:00:00.000Z,T,20529,21005,,,41534,895
HOWE AVE,N,ARDEN WAY,24,2015-11-03T00:00:00.000Z,T,14921,15163,,,30084,896
HOWE AVE,N,FAIR OAKS BLVD,24,2015-11-03T00:00:00.000Z,T,26928,25716,,,52644,897
WATT AVE,S,MARCONI AVE,24,2015-11-03T00:00:00.000Z,T,23696,24457,,,48153,898
WATT AVE,N,EL CAMINO AVE,24,2015-11-03T00:00:00.000Z,T,23920,24429,,,48349,899
FAIR OAKS BLVD,N,ENGLE RD,24,2015-11-04T00:00:00.000Z,W,19015,20673,,,39688,900
MOONBEAM DR,S,GOETHE RD,24,2015-08-05T00:00:00.000Z,W,,,,,726,901
WINDING WAY,E,PASADENA AVE,24,2015-04-22T00:00:00.000Z,W,,,5134,5152,10286,902
ISLETON RD,N,ISLETON BRIDGE,24,2015-06-17T00:00:00.000Z,W,1289,1071,,,2360,903
WATT AVE,S,MARCONI AVE,24,2015-11-04T00:00:00.000Z,W,23223,24200,,,47423,904
ELKHORN BLVD,W,EAST LEVEE RD,24,2016-03-02T00:00:00.000Z,W,,,9365,9669,19034,905
BRADSHAW RD,N,FLORIN RD,24,2015-05-19T00:00:00.000Z,T,13489,13467,,,26956,906
FRANKLIN BLVD,N,TWIN CITIES RD,24,2015-06-17T00:00:00.000Z,W,688,725,,,1413,907
FRANKLIN BLVD,N,SIMS RD,24,2015-06-17T00:00:00.000Z,W,10490,10834,,,21324,908
FRANKLIN BLVD,S,DESMOND RD,24,2015-06-17T00:00:00.000Z,W,364,399,,,763,909
FRENCH RD,S,FLORIN RD,24,2015-06-17T00:00:00.000Z,W,8345,8800,,,17145,910
FAIR OAKS BLVD,W,SUNRISE BLVD,24,2015-06-17T00:00:00.000Z,W,,,19009,15071,34080,911
BRUCEVILLE RD,S,LAMBERT RD,24,2015-06-17T00:00:00.000Z,W,859,850,,,1709,912
BRANNAN ISLAND RD,S,STATE ROUTE 12,24,2015-06-17T00:00:00.000Z,W,490,499,,,989,913
TWIN CITIES RD,E,RIVER RD,24,2015-06-17T00:00:00.000Z,W,,,2398,2473,4871,914
LINCOLN WAY,N,KOST RD,24,2015-06-17T00:00:00.000Z,W,3334,2861,,,6195,915
LAMBERT RD,E,RIVER RD,24,2015-06-17T00:00:00.000Z,W,,,176,164,340,916
LAMBERT RD,W,BRUCEVILLE RD,24,2015-06-17T00:00:00.000Z,W,,,650,677,1327,917
LAMBERT RD,E,BRUCEVILLE RD,24,2015-06-17T00:00:00.000Z,W,,,188,190,378,918
RIVER RD,N,WALNUT GROVE BRIDGE,24,2015-06-17T00:00:00.000Z,W,2266,2960,,,5226,919
BRUCEVILLE RD,N,LAMBERT RD,24,2015-06-17T00:00:00.000Z,W,999,1053,,,2052,920
BOWLING DR,N,FLORIN RD,24,2015-06-18T00:00:00.000Z,TH,2443,2913,,,5356,921
EAST PKWY,S,FLORIN RD,24,2015-06-18T00:00:00.000Z,TH,5264,4474,,,9738,922
EAST PKWY,S,FOREST PKWY,24,2015-06-18T00:00:00.000Z,TH,731,984,,,1715,923
FRANKLIN BLVD,N,FLORIN RD,24,2015-06-18T00:00:00.000Z,TH,11921,10413,,,22334,924
FRENCH RD,S,FLORIN RD,24,2015-06-18T00:00:00.000Z,TH,8014,8805,,,16819,925
GRATTAN WAY,N,DON JULIO BLVD,24,2015-06-18T00:00:00.000Z,TH,,,,,293,926
CENTER PKWY,S,FOREST PKWY,24,2015-06-18T00:00:00.000Z,TH,2703,2628,,,5331,927
KARM WAY,W,GOLD RUN AVE,24,2015-06-23T00:00:00.000Z,T,,,,,892,928
SUNRISE BLVD,N,MADISON AVE,24,2015-06-23T00:00:00.000Z,T,21384,21615,,,42999,929
FLORIN PERKINS RD,N,FLORIN RD,24,2015-06-30T00:00:00.000Z,T,8469,8906,,,17375,930
MARTIN LUTHER KING BLVD,S,47TH AVE,24,2015-06-30T00:00:00.000Z,T,9313,8313,,,17626,931
CHERBOURG DR,W,LA TOUR DR,24,2015-06-30T00:00:00.000Z,T,,,,,232,932
RENICK WAY,W,HARRISON ST,24,2015-06-30T00:00:00.000Z,T,,,,,528,933
GREENBACK LN,E,GARFIELD AVE,24,2015-06-30T00:00:00.000Z,T,,,27198,27646,54844,934
GARFIELD AVE,S,GREENBACK LN,24,2015-06-30T00:00:00.000Z,T,13368,14261,,,27629,935
GREENBACK LN,W,GARFIELD AVE,24,2015-06-30T00:00:00.000Z,T,,,37649,36801,74450,936
GERBER RD,W,ELK GROVE FLORIN RD,24,2015-07-01T00:00:00.000Z,W,,,10169,9222,19391,937
GENEVA POINTE DR,E,EAST STOCKTON BLVD,24,2015-07-01T00:00:00.000Z,W,,,1834,2557,4391,938
STEVENSON AVE,E,EAST STOCKTON BLVD,24,2015-07-01T00:00:00.000Z,W,,,1169,871,2040,939
MARTIN LUTHER KING BLVD,S,47TH AVE,24,2015-07-01T00:00:00.000Z,W,9777,8839,,,18616,940
STOCKTON BLVD,S,FLORIN RD,24,2015-07-01T00:00:00.000Z,W,15366,15358,,,30724,941
ELSIE AVE,E,STOCKTON BLVD,24,2015-07-01T00:00:00.000Z,W,,,13273,13348,26621,942
GERBER RD,W,ELK GROVE FLORIN RD,24,2015-07-02T00:00:00.000Z,TH,,,10171,9298,19469,943
GREENBACK LN,E,HAZEL AVE,24,2015-07-07T00:00:00.000Z,T,,,14901,15134,30035,944
ARNO RD,W,ALTA MESA RD,24,2015-07-07T00:00:00.000Z,T,,,152,133,285,945
CHERBOURG DR,E,SAINT TROPEZ WAY,24,2015-07-07T00:00:00.000Z,T,,,,,417,946
CLAY STATION RD,S,TAVERNOR RD,24,2015-07-07T00:00:00.000Z,T,1251,1212,,,2463,947
MEISS RD,E,DILLARD RD,24,2015-07-07T00:00:00.000Z,T,,,,,187,948
HICKORY AVE,N,GREENBACK LN,24,2015-07-07T00:00:00.000Z,T,2604,2449,,,5053,949
DILLARD RD,S,MEISS RD,24,2015-07-07T00:00:00.000Z,T,2043,1989,,,4032,950
TAVERNOR RD,N,CLAY STATION RD,24,2015-07-07T00:00:00.000Z,T,549,633,,,1182,951
VALENSIN RD,E,ARNO RD,24,2015-07-08T00:00:00.000Z,W,,,812,722,1534,952
TAVERNOR RD,N,BLAKE RD,24,2015-07-08T00:00:00.000Z,W,195,182,,,377,953
COLONY RD,N,VALENSIN RD (N/EXT),24,2015-07-08T00:00:00.000Z,W,579,603,,,1182,954
GRANT LINE RD,W,BRADSHAW RD,24,2015-07-08T00:00:00.000Z,W,,,6858,6729,13587,955
WATT AVE,N,AMERICAN RIVER DR,24,2015-08-05T00:00:00.000Z,W,45886,50262,,,96148,956
RIO LINDA BLVD,S,ELKHORN BLVD,24,2016-03-02T00:00:00.000Z,W,5977,5711,,,11688,957
HOWE AVE,N,FAIR OAKS BLVD,24,2015-11-04T00:00:00.000Z,W,26551,25986,,,52537,958
FLORIN RD,W,ELK GROVE FLORIN RD,24,2015-05-20T00:00:00.000Z,W,,,8005,6265,14270,959
HAZEL AVE,N,GREENBACK LN,24,2015-04-22T00:00:00.000Z,W,18057,18386,,,36443,960
HAZEL AVE,S,GREENBACK LN,24,2015-04-22T00:00:00.000Z,W,18204,18092,,,36296,961
WINDING WAY,E,MANZANITA AVE,24,2015-04-23T00:00:00.000Z,TH,,,9561,12729,22290,962
WINDING WAY,E,PASADENA AVE,24,2015-04-23T00:00:00.000Z,TH,,,4940,4885,9825,963
MANZANITA AVE,S,WINDING WAY,24,2015-04-23T00:00:00.000Z,TH,13858,13492,,,27350,964
SUNSET AVE,W,KENNETH AVE,24,2015-04-23T00:00:00.000Z,TH,,,4509,4418,8927,965
WINDING WAY,E,CENTRAL AVE,24,2015-04-23T00:00:00.000Z,TH,,,1780,1708,3488,966
FAIR OAKS BLVD,E,SUNRISE BLVD,24,2015-04-23T00:00:00.000Z,TH,,,3681,3691,7372,967
WINDING WAY,W,KENNETH AVE,24,2015-04-23T00:00:00.000Z,TH,,,1443,1604,3047,968
KENNETH AVE,N,SUNSET AVE,24,2015-04-23T00:00:00.000Z,TH,2166,2061,,,4227,969
HAZEL AVE,N,WINDING WAY,24,2015-04-23T00:00:00.000Z,TH,24855,24447,,,49302,970
GOLD COUNTRY BLVD,W,HAZEL AVE,24,2015-04-23T00:00:00.000Z,TH,,,4885,3635,8520,971
FAIR OAKS BLVD,S,MADISON AVE,24,2015-04-23T00:00:00.000Z,TH,7576,7461,,,15037,972
SUNSET AVE,W,FAIR OAKS BLVD,24,2015-04-23T00:00:00.000Z,TH,,,5947,6128,12075,973
KENNETH AVE,N,WINDING WAY,24,2015-04-23T00:00:00.000Z,TH,547,920,,,1467,974
ILLINOIS AVE,S,SUNSET AVE,24,2015-04-23T00:00:00.000Z,TH,1271,1165,,,2436,975
47TH AVE,E,MARTIN LUTHER KING BLVD,24,2015-04-29T00:00:00.000Z,W,,,20012,19132,39144,976
HOOD FRANKLIN RD,W,FRANKLIN BLVD,24,2015-04-29T00:00:00.000Z,W,,,3505,2946,6451,977
FRANKLIN BLVD,S,HOOD FRANKLIN RD,24,2015-04-29T00:00:00.000Z,W,801,809,,,1610,978
RANDOLPH RD,S,GREEN RD,24,2015-05-04T00:00:00.000Z,M,920,702,,,1622,979
ALTA ARDEN EXPWY,E,HOWE AVE,24,2015-05-04T00:00:00.000Z,M,,,8421,8937,17358,980
FULTON AVE,S,MARCONI AVE,24,2015-05-05T00:00:00.000Z,T,16533,14753,,,31286,981
FULTON AVE,S,NORTHROP AVE,24,2015-05-05T00:00:00.000Z,T,13504,14830,,,28334,982
FULTON AVE,N,ARDEN WAY,24,2015-05-05T00:00:00.000Z,T,13537,13988,,,27525,983
DARWIN ST,N,EL CAMINO AVE,24,2015-05-05T00:00:00.000Z,T,930,742,,,1672,984
FULTON AVE,S,EL CAMINO AVE,24,2015-05-05T00:00:00.000Z,T,15581,15452,,,31033,985
PALOMINO LN,N,MARGARET WAY,24,2015-05-05T00:00:00.000Z,T,,,,,1208,986
HOWE AVE,N,EL CAMINO AVE,24,2015-05-05T00:00:00.000Z,T,8992,7765,,,16757,987
